iter	MultiClass
0	2.423453806
1	2.314557937
2	2.23008853
3	2.155821462
4	2.086793044
5	2.027184865
6	1.97609425
7	1.930212655
8	1.888682341
9	1.849928919
10	1.813797441
11	1.780143233
12	1.74955738
13	1.721397833
14	1.694719502
15	1.67106393
16	1.646414745
17	1.624964713
18	1.603462475
19	1.582647644
20	1.562964112
21	1.546772347
22	1.530734288
23	1.515678007
24	1.502166064
25	1.488301556
26	1.474949953
27	1.462126673
28	1.449438752
29	1.437594239
30	1.425548618
31	1.414848796
32	1.405224188
33	1.395463119
34	1.385369938
35	1.376523139
36	1.369136866
37	1.360724532
38	1.352442613
39	1.346835897
40	1.338793053
41	1.331039936
42	1.324699724
43	1.318406118
44	1.313687005
45	1.309052488
46	1.303798187
47	1.299037692
48	1.294024594
49	1.289946262
50	1.28581625
51	1.280947591
52	1.277694366
53	1.276003545
54	1.271823594
55	1.269367261
56	1.265540475
57	1.2624183
58	1.25896859
59	1.256364242
60	1.253405947
61	1.252190156
62	1.249217384
63	1.245652467
64	1.242976545
65	1.240802515
66	1.239580176
67	1.238069663
68	1.235565131
69	1.232868668
70	1.230711716
71	1.228286766
72	1.227072352
73	1.22620926
74	1.223809643
75	1.222153391
76	1.221146871
77	1.220955185
78	1.219719914
79	1.218311053
80	1.218004666
81	1.216248711
82	1.214074168
83	1.211961367
84	1.210411872
85	1.209199166
86	1.207542583
87	1.207014929
88	1.206446536
89	1.205649114
90	1.205585907
91	1.204039165
92	1.202656267
93	1.201568732
94	1.200438425
95	1.199171216
96	1.198783293
97	1.198608837
98	1.198451307
99	1.197264257
100	1.195996571
101	1.195182923
102	1.193860444
103	1.193697165
104	1.193577557
105	1.193264364
106	1.192955148
107	1.192442445
108	1.192088974
109	1.191726446
110	1.191624355
111	1.191210211
112	1.190321027
113	1.189444268
114	1.189148523
115	1.188576668
116	1.188119364
117	1.18807634
118	1.187695117
119	1.187695095
120	1.187229596
121	1.186878942
122	1.186875622
123	1.186864004
124	1.186778236
125	1.186114482
126	1.185803977
127	1.185795981
128	1.1850482
129	1.184271616
130	1.184012107
131	1.184003532
132	1.183995692
133	1.183514543
134	1.182665194
135	1.182050106
136	1.181647524
137	1.181464593
138	1.181342862
139	1.180854951
140	1.180600126
141	1.180498588
