iter	Passed	Remaining
0	1118	1117329
1	2051	1023806
2	2825	938949
3	3617	900685
4	4369	869626
5	5261	871595
6	6252	886917
7	7346	910985
8	8373	921990
9	9470	937613
10	10489	943073
11	11562	952016
12	12680	962773
13	13715	965994
14	14713	966157
15	15753	968868
16	16734	967670
17	17848	973752
18	18844	972981
19	19802	970343
20	20777	968628
21	21849	971328
22	22847	970522
23	23816	968517
24	24793	966943
25	25864	968913
26	26893	969169
27	27881	967875
28	28838	965592
29	29807	963784
30	30799	962725
31	31796	961849
32	32823	961837
33	33912	963515
34	34933	963157
35	35894	961185
36	36931	961225
37	38027	962687
38	39059	962463
39	40024	960598
40	40986	958693
41	42094	960153
42	43104	959335
43	44099	958158
44	45108	957304
45	46284	959898
46	47267	958416
47	48228	956540
48	49256	955980
49	50398	957573
50	51439	957186
51	52385	955021
52	53374	953691
53	54599	956499
54	55894	960366
55	57078	962182
56	58203	962916
57	59375	964342
58	60376	962950
59	61428	962372
60	62564	963088
61	63730	964181
62	64824	964130
63	65887	963609
64	66973	963385
65	67998	962279
66	69145	962881
67	69740	955861
68	71020	958256
69	72124	958222
70	73457	961157
71	74820	964352
72	76050	965737
73	76984	963343
74	78187	964315
75	79559	967281
76	80908	969852
77	81216	960018
78	82446	961182
79	83183	956615
80	83506	947441
81	84935	950858
82	85991	950055
83	87296	951949
84	88487	952546
85	89816	954556
86	90932	954266
87	91688	950228
88	92860	950513
89	93995	950400
90	95250	951460
91	96088	948348
92	97242	948372
93	98273	947192
94	98899	942152
95	99921	940923
96	100574	936276
97	101084	930392
98	101807	926549
99	102440	921964
100	103646	922554
101	104807	922718
102	105941	922614
103	106626	918630
104	106920	911374
105	108111	911807
106	108779	907849
107	109407	903627
108	110567	903817
109	111068	898643
110	111338	891709
111	111638	885133
112	112781	885282
113	113441	881656
114	114283	879485
115	115356	879096
116	116585	879869
117	117692	879702
118	118600	878039
119	118728	870678
120	119794	870241
121	120934	870332
122	121451	865961
123	122304	864022
124	122600	858201
125	123819	858874
126	125022	859407
127	125931	857906
128	127208	858903
129	128421	859434
130	128751	854082
131	129783	853422
132	130911	853383
133	132194	854329
134	133196	853446
135	134379	853702
136	135622	854322
137	136750	854196
138	137045	848894
139	137692	845823
140	138674	844835
141	139405	842320
142	140636	842835
143	141101	838770
144	141982	837207
145	142956	836199
146	143894	834979
147	144874	834006
148	145332	830054
149	146395	829575
150	147096	827051
151	148055	825991
152	149302	826529
153	150493	826735
154	150764	821910
155	151956	822121
156	153142	822286
157	154196	821732
158	155097	820359
159	156296	820557
160	157412	820306
161	158330	819017
162	159212	817549
163	160318	817231
164	161647	818033
165	162553	816683
166	163421	815149
167	164292	813637
168	165218	812406
169	166435	812594
170	167339	811253
171	167819	807875
172	168069	803428
173	169241	803408
174	170244	802581
175	170658	798992
176	171754	798609
177	172882	798365
178	173175	794287
179	174093	793093
180	174966	791697
181	175448	788552
182	176325	787201
183	177176	785738
184	178074	784489
185	179266	784530
186	180192	783402
187	181352	783286
188	182510	783154
189	183413	781921
190	184335	780769
191	185551	780862
192	186665	780512
193	187539	779157
194	188451	777966
195	189358	776754
196	190556	776735
197	191923	777386
198	193468	778733
199	194882	779528
200	195970	779006
201	197402	779837
202	198220	778234
203	198781	775636
204	199792	774804
205	200869	774226
206	202268	774874
207	203615	775306
208	204573	774245
209	205981	774883
210	207415	775597
211	208416	774681
212	209770	775068
213	210883	774552
214	212041	774197
215	213216	773895
216	214384	773564
217	215429	772778
218	216420	771802
